"method","path","callsite_count","source_files","representative_line","laravel_status","laravel_methods","laravel_handlers","aspnet_status","aspnet_methods","aspnet_controllers"
"GET","/api/v2/me/verein-dues","1","pages/profile/MyVereinDuesPage.tsx","95","exists","GET","[\App\Http\Controllers\Api\Verein\MyDuesController::class, 'myDues']","exists","GET","MemberParity"
"POST","/api/v2/me/verein-dues/{id}/pay","1","pages/profile/MyVereinDuesPage.tsx","115","exists","POST","[\App\Http\Controllers\Api\Verein\MyDuesController::class, 'payDues']","exists","POST","MemberParity"
"GET","/api/v2/me/verein-invitations","1","pages/profile/MyVereinInvitationsPage.tsx","66","exists","GET","[\App\Http\Controllers\Api\Verein\VereinFederationMemberController::class, 'listMine']","exists","GET","MemberParity"
"POST","/api/v2/me/verein-invitations/{id}/respond","1","pages/profile/MyVereinInvitationsPage.tsx","96","exists","POST","[\App\Http\Controllers\Api\Verein\VereinFederationMemberController::class, 'respond']","exists","POST","MemberParity"
"UNRESOLVED","/api/v2/media/thumbnail","1","lib/helpers.ts","160","exists-unambiguous-method","GET","[\App\Http\Controllers\Api\MediaThumbnailController::class, 'show']","exists-compatibility","GET","MediaThumbnailCompatibility"
"POST","/api/v2/member-premium/billing-portal","1","pages/premium/MySubscriptionPage.tsx","95","exists","POST","[\App\Http\Controllers\Api\MemberPremiumController::class, 'billingPortal']","exists","POST","MemberParity"
"POST","/api/v2/member-premium/cancel","1","pages/premium/MySubscriptionPage.tsx","121","exists","POST","[\App\Http\Controllers\Api\MemberPremiumController::class, 'cancel']","exists","POST","MemberParity"
"POST","/api/v2/member-premium/checkout","1","pages/premium/PricingPage.tsx","98","exists","POST","[\App\Http\Controllers\Api\MemberPremiumController::class, 'checkout']","exists","POST","MemberParity"
"GET","/api/v2/member-premium/me","2","pages/premium/MySubscriptionPage.tsx;pages/premium/SubscriptionReturnPage.tsx","79","exists","GET","[\App\Http\Controllers\Api\MemberPremiumController::class, 'me']","exists","GET","MemberParity"
"GET","/api/v2/member-premium/tiers","1","pages/premium/PricingPage.tsx","61","exists","GET","[\App\Http\Controllers\Api\MemberPremiumController::class, 'listTiers']","exists","GET","MemberParity"
"DELETE","/api/v2/members/{id}/endorse","1","components/endorsements/EndorseButton.tsx","55","exists","DELETE","[\App\Http\Controllers\Api\EndorsementController::class, 'removeEndorsement']","exists-compatibility","DELETE","CompatibilityAlias"
"POST","/api/v2/members/{id}/endorse","1","components/endorsements/EndorseButton.tsx","66","exists","POST","[\App\Http\Controllers\Api\EndorsementController::class, 'endorse']","exists-compatibility","POST","CompatibilityAlias"
"GET","/api/v2/members/{id}/endorsements","1","pages/dashboard/DashboardPage.tsx","283","exists","GET","[\App\Http\Controllers\Api\EndorsementController::class, 'getEndorsements']","exists-compatibility","GET","Compatibility"
